epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.21363457473949413,0.11985979996510406,1.2472090735957397,0.15085651163429387,0.08296818707157229,0.8671702917884377
1,0.24262465936924094,0.1383006454477856,0.7781535861504019,0.22091307246520833,0.12797911586281605,0.7991776840800583
2,0.2651434717931558,0.1531050332743137,0.756996415147734,0.27066317105554816,0.16210194652216336,0.7520344623847225
3,0.29198120905095665,0.17119693192676524,0.7302976600566313,0.1811310269429398,0.10193999543459867,0.8397409165739087
4,0.3148275728694242,0.18723621697568182,0.7085952219085314,0.20780893759984811,0.11955187817123994,0.812191015739949
5,0.3337611243944263,0.2007206928225892,0.6937749059639167,0.28368000169974605,0.17071482110191002,0.7392045931599116
6,0.35611614332863345,0.21714808424906945,0.6711459231020799,0.3765271315644428,0.24739530062571438,0.651032160971723
7,0.3788745464080602,0.23426821153258803,0.648143469694242,0.2380567236712252,0.13835364720957524,0.7836958081290937
8,0.40185298626102617,0.25201684303248106,0.6251600150445208,0.3429164870456843,0.2152151259137307,0.6806451190060436
9,0.41602174811695347,0.2632239275607304,0.6122883845917622,0.3747598194234491,0.23902163526483117,0.651951139894098
10,0.4291715175654758,0.27388026791425485,0.6019933143658425,0.40695781009931986,0.2730188930058502,0.6220149864234882
11,0.44963727543010046,0.290690220410551,0.5800650733620373,0.4153330901964696,0.2781669226638248,0.6101404066620338
12,0.46260921308650305,0.30161874366933433,0.5667244974356979,0.39854269671772236,0.27579648069158175,0.6274372647525732
13,0.4767451044635393,0.31363908568424964,0.5546605698208311,0.4290068442658051,0.28865563559696567,0.6005924611324476
14,0.48655215706398236,0.32212933794182924,0.5449151648810847,0.440792869841543,0.3011683043507631,0.5869053247633838
15,0.49499232170000595,0.32955587962966654,0.5383192911669983,0.4000684097768443,0.2587630416811356,0.6303745375886212
16,0.5088043330024131,0.34176690261162335,0.5232689187894413,0.21319225049057208,0.12325918488776219,0.809171660891119
17,0.5170650547416649,0.3493029359561294,0.514482710195418,0.4344576103624409,0.29421577167262597,0.5943059640110664
18,0.5281105400317937,0.35951235119383135,0.5037434166343651,0.4050601059030824,0.26493364590426627,0.6228019801546281
19,0.533247161415679,0.3643415800077998,0.49913258383523174,0.30070179343723863,0.18627467479070464,0.7252636973257203
20,0.540100642104647,0.3707190117432703,0.4922035378010119,0.38475152185407946,0.24981907789621782,0.6438857524032465
21,0.5463278293609619,0.3766501488080665,0.48666432381269353,0.4445533019579822,0.3053105192536232,0.5844340212601801
22,0.506934024949572,0.34143812161179915,0.5329729761946854,0.4232205541805208,0.28119075443227665,0.6187644900545296
23,0.4936825760561435,0.3284693203162198,0.5496491081085965,0.38864777696636255,0.2524047493588357,0.6501451243174062
24,0.5161504257674241,0.3485850974991547,0.5242565256446156,0.4289867655709014,0.29033640731688376,0.6080509827748255
25,0.5248109281656161,0.3565923512278505,0.512014633090935,0.12325435420715643,0.07379378961473265,0.9043565042540183
26,0.5414938167553043,0.37214989211428817,0.4941151838990586,0.43769474933944646,0.2948215116108313,0.5936740939810327
27,0.5447489352368596,0.37504917575945307,0.4906855016501982,0.44005128536316523,0.29323278134908387,0.5916268660146309
28,0.5536401227338991,0.38342165131474015,0.48045325145792606,0.45490515659715447,0.31383347690465796,0.5761097674232212
