epoch;loss;val_loss
0;7676.21430744;7786.03230883
1;7677.69726579;7786.03214574
2;7676.33235551;7786.03229304
3;7676.35453066;7786.032151
4;7676.2121573;7786.03212469
5;8080.68046094;7786.03231409
6;7676.21221976;7786.03248244
7;7676.21220221;7786.03231409
8;7676.21220903;7786.0322983
9;7676.21217485;7786.03213522
10;7676.21215056;7786.03232461
11;7676.21219152;7786.03230357
12;7676.21219421;7786.0322983
13;7676.21221382;7786.03231935
14;7676.2122076;7786.03229304
15;7676.21214219;7786.03214048
16;7676.2121674;7786.032151
17;7676.21221496;7786.03248244
18;7676.21222704;7786.03230357
19;7676.21226753;7786.03248244
20;7676.21222767;7786.03230357
21;7676.21219472;7786.03213522
22;7676.21217199;7786.03231672
23;7676.21219577;7786.03230357
24;8047.67373048;7786.03231672
25;7676.2121996;7786.03214048
26;7676.21217173;7786.03231935
27;7676.21216769;7786.03230357
28;7676.21217679;7786.03229304
29;7676.21218495;7786.0322983
30;7676.21212127;7786.03229567
31;7676.21219185;7786.03230883
32;7676.21219657;7786.03230357
33;7676.21214126;7786.0324877
34;7676.21217182;7786.03246665
35;7676.2121719;7786.03231409
36;7676.21226147;7786.03230357
37;7676.2121927;7786.03213522
38;7676.21217822;7786.03230883
39;7676.21225208;7786.03212469
40;7676.2121679;7786.03247718
41;7676.21216264;7786.03230357
42;7676.21219421;7786.03214311
43;7676.21225844;7786.03247718
44;7676.21218344;7786.03230357
45;7676.2121666;7786.03231409
46;7676.21217329;7786.03231409
47;7676.21217409;7786.0323062
48;7676.21218251;7786.0322983
49;7676.21211037;7786.03213522
