epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.26234895215767073,0.7376510364365022,0.09563170012199518,0.904368292201649
1,0.39485852209792377,0.605141469725856,0.12050257329687927,0.8794974287350973
2,0.524897843394914,0.4751021606931961,0.16033512218431992,0.8396648439494047
3,0.6220464468492892,0.3779535490626007,0.20074037033500094,0.7992596409537576
4,0.6837782848355538,0.31622171925255627,0.2120672491463748,0.7879327282761083
5,0.7225969077301287,0.2774030922698713,0.1961036559307214,0.8038962916894392
6,0.7503982335942272,0.24960176699854872,0.18528806576223084,0.8147118705691714
7,0.7680808456182807,0.2319191543817193,0.16432332044297998,0.8356766646558588
8,0.7845455407278692,0.2154544613161859,0.20700691324291806,0.7929930343772426
9,0.7953470932276324,0.20465290472831255,0.1775916214242126,0.8224084196668683
10,0.8065345461476486,0.1934654538523513,0.09712712263519113,0.9028728568192684
11,0.8100170960805707,0.18998290596348433,0.1902037849932006,0.8097961888168798
12,0.8166527729302604,0.1833472270697396,0.12302341063817342,0.8769765821370211
13,0.8218912166659561,0.17810878333404395,0.2097807838158174,0.7902191750931017
14,0.8256126107502376,0.17438738720570734,0.26290762559934094,0.7370923558870951
15,0.8279181462910604,0.17208185430171558,0.1665033959981167,0.8334965778119636
16,0.8414363798127089,0.1585636195945151,0.17651161190235254,0.8234883167526938
17,0.8482712613538786,0.15172873805334539,0.1484768223581892,0.8515231591282468
18,0.8510293371065818,0.14897066289341826,0.19717510134884805,0.802824880137588
19,0.857882893134537,0.14211710686546294,0.07961666064732002,0.9203833486094619
20,0.8598025306262107,0.14019746878101338,0.14943119341676886,0.850568829160748
