epoch;loss;val_loss
0;6931.66462709;7255.68873221
1;6904.27862715;7269.95391357
2;6932.28700988;7235.29101678
3;6928.34253378;7270.28703391
4;6963.4000678;7240.24739518
5;6921.93053586;7315.73157158
6;6930.98564737;7234.15484204
7;6924.47826755;7253.68073854
8;6942.53283981;7245.93640182
9;6943.96550978;7293.56124148
10;6936.26166622;7272.48974445
11;6935.70789712;7290.4344184
12;6924.63547584;7446.26336099
13;6916.73545165;7213.76348149
14;6949.37405804;7240.06954255
15;6931.24890129;7262.76274028
16;6935.136337;7324.84220953
17;6927.9806276;7292.63569361
18;6926.9266658;7221.84791823
19;6924.35991951;7249.31759144
20;6927.03562214;7231.3486271
21;6921.36268947;7254.57178211
22;6928.63370042;7292.92713241
23;6913.94633578;7253.05420551
24;6933.76844391;7250.15710725
25;6940.21097454;7267.0400957
26;6903.94660802;7249.23305705
27;6951.26280542;7277.41629906
28;6945.27115414;7263.70158321
29;6908.79348494;7316.48578658
30;6944.96690589;7340.85489646
31;6917.10325105;7241.60850986
32;6947.78982634;7321.50403646
33;6952.26494597;7272.1026091
34;6915.06559817;7233.16108982
35;6917.96270097;7291.62324334
36;6921.02001709;7232.19508513
37;6929.03373;7225.51923491
38;6910.20533647;7345.24087366
39;6921.2873926;7292.83373152
40;6922.06724425;7268.37011735
41;6954.36353042;7247.83265944
42;6924.34327127;7260.14078102
43;6947.51098222;7207.75105819
44;6934.08023449;7231.1176563
45;6934.32536443;7257.98489419
46;6953.64734073;7308.2693555
47;6926.47747105;7203.65162201
48;6965.27961667;7330.6777758
49;6953.17820839;7298.94514514
