epoch;loss;val_loss
0;6925.34572413;7232.28358397
1;6923.04637439;7233.63143265
2;6917.68679142;7249.9482846
3;6942.61876413;7231.81874614
4;6956.15264806;7260.03885346
5;6940.57399854;7318.87971676
6;6931.82993814;7265.80374916
7;6933.09564483;7225.75029194
8;6950.51535672;7313.41658479
9;6954.78529733;7218.08777094
10;6928.82956636;7254.00883666
11;6935.53547125;7282.14442344
12;6917.2827664;7226.94956499
13;6917.81506645;7257.54340878
14;6946.88645662;7291.69569778
15;6969.92062401;7230.27314815
16;6929.07633194;7289.82672773
17;6939.76774577;7265.6061754
18;6956.64943784;7220.59488587
19;6939.84113514;7396.7612428
20;6931.066522;7233.53552123
21;6918.6633346;7383.21568813
22;6919.08920214;7232.57400009
23;6913.6131578;7222.05905289
24;6894.31078039;7315.72202329
25;6910.03563948;7263.97581541
26;6937.58697875;7233.85723704
27;6952.38743996;7277.1586254
28;6948.88716519;7271.47413244
29;6915.18749242;7573.21770061
30;6909.32357267;7238.74461045
31;6944.42643242;7209.99277594
32;6912.62560803;7274.49659847
33;6948.50604655;7318.62598051
34;6934.3624722;7247.86758071
35;6923.59404223;7228.7052018
36;6934.75901593;7356.30828705
37;6938.96889584;7324.22100045
38;6908.01042264;7255.00139978
39;6943.28276586;7232.2766923
40;6906.12509129;7301.91387623
41;6951.28672064;7246.0376039
42;6941.94312948;7257.16371787
43;6928.62430312;7287.41810405
44;6937.36038473;7214.45723014
45;6937.6600618;7276.18319754
46;6946.91237715;7229.58915892
47;6926.22279834;7292.7587381
48;6950.77289463;7354.40306253
49;6930.51243865;7296.28483139
