epoch;loss;val_loss
0;8740.2020973;7786.03214703
1;341080.174962;7786.03234432
2;7676.21224787;7786.03214703
3;7676.21221787;7786.03216281
4;7676.21210347;7786.03201288
5;7676.21217944;7786.03216808
6;7676.21212485;7786.03199183
7;7676.21214143;7786.03198657
8;7676.21214787;7786.03217071
9;7676.21216904;7786.0319892
10;17894.2970747;7786.03214966
11;7676.212198;7786.03200236
12;7676.21213036;7786.03234695
13;7676.21214602;7786.03200236
14;7676.21215153;7786.03198657
15;7676.21215288;7786.03216281
16;7676.21219665;7786.03233643
17;7676.21217611;7786.03216018
18;14453.2375166;7786.03216018
19;7676.212148;7786.03216281
20;7676.2121602;7786.03197868
21;7681.24224007;7786.0321786
22;7676.21221627;7786.03215229
23;7676.21220743;7786.03233116
24;7676.21223382;7786.03217597
25;7676.21218655;7786.03216808
26;7676.21218764;7786.03217334
27;7676.21219901;7786.03198131
28;7676.21220987;7786.03201288
29;7676.21216416;7786.03218123
30;7676.21214623;7786.03216545
31;7676.21216609;7786.03200499
32;7676.21215721;7786.03217334
33;7676.21216399;7786.03199709
34;7676.2121081;7786.03219175
35;7676.21218243;7786.03201025
36;7676.21218222;7786.03216808
37;7676.21217864;7786.03199709
38;7676.21218504;7786.03218912
39;7676.21220734;7786.03216808
40;7676.21219749;7786.03201814
41;7676.21218095;7786.03197079
42;7676.21222704;7786.03201025
43;7676.21216458;7786.03217071
44;7676.21216256;7786.03231275
45;7676.21213764;7786.03200236
46;7676.21218327;7786.03235221
47;7676.21214299;7786.03214966
48;7676.21216222;7786.03199973
49;7676.21213124;7786.03200762
