epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.5133078652230799,1630656.9325012192,0.620205102438186,1307351.4776957638
1,0.6082698423465384,608263.3085299317,0.521448368132497,2110166.248716303
2,0.6165458149544875,417115.0992936174,0.6287731407389561,630259.6019736842
3,0.6210244708135633,351543.9711884296,0.6246919688961167,452416.48299101414
4,0.6235712117551159,318246.0570973543,0.638295621100684,350356.6908295892
5,0.6255388384736245,302422.49525268225,0.6435267955485602,300764.7313462773
6,0.6272319063736851,285558.48880989396,0.6517253739613471,296633.6313181964
