epoch;loss;val_loss
0;6939.01141882;7208.33165739
1;6972.59766854;7301.33026382
2;6933.11798905;7270.96459879
3;6969.84645181;7235.62378863
4;6973.12737899;7200.84261059
5;6964.41958604;7217.36470655
6;6938.62316262;7274.99666243
7;6943.87065425;7202.84139482
8;6930.50052818;7351.91597748
9;6928.47137946;7206.16374265
10;6929.5361975;7258.19864202
11;6958.23294715;7318.85279931
12;6921.32845759;7221.4845325
13;7043.16018449;7783.72609337
14;7674.99949989;7784.77504176
15;7676.10706352;7786.03218115
16;7676.21217712;7786.03233371
17;7676.21220566;7786.03234423
18;7676.21213655;7786.03218641
19;7676.21215675;7786.03233897
20;7676.21218575;7786.03235476
21;7676.21218344;7786.03216536
22;7676.21212055;7786.0323495
23;7676.21216189;7786.03232319
24;7676.21217014;7786.03216536
25;7676.21219429;7786.03235476
26;7676.21214236;7786.03200753
27;7676.21208318;7786.03217588
28;7676.212182;7786.03234423
29;7676.21214859;7786.03236528
30;7676.21214156;7786.03217062
31;7676.21209808;7786.03216536
32;7676.21219867;7786.03217062
33;7676.21214657;7786.0323495
34;7676.21218798;7786.0323495
35;7676.21217843;7786.03235476
36;7676.21219825;7786.03236528
37;7676.21216315;7786.03233897
38;7676.21216854;7786.03233371
39;7676.21221012;7786.03233897
40;7676.21216711;7786.0323495
41;7676.21219038;7786.03234423
42;7676.21220675;7786.03218641
43;7676.21219758;7786.03236528
44;7676.21215166;7786.0321601
45;7676.21213933;7786.03218115
46;7676.21220957;7786.03218641
47;7676.21217346;7786.03236002
48;7676.21212653;7786.0323495
49;7676.21223344;7786.03232845
