epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.23712721493391864,1673675.7141101279,0.31409742782285455,411955.14786410553
1,0.25231623554358673,856568.9868485742,0.31090272615296305,182804.88449684632
2,0.2706797471528208,730436.5143498033,0.34783531103385695,101997.84339162844
3,0.286195823957552,668066.0242594641,0.25663017377325703,72138.22448394496
4,0.30033411569124124,635511.5891408555,0.3701343552611016,189570.20764048165
5,0.30633394686814724,602629.5319874631,0.272846105534139,111027.66800458716
