epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.2174306558315651,2390697.3535113386,0.2720923790270618,2690235.1466623875
1,0.2707921114819017,2390697.162582297,0.31248292154769997,2690235.1466623875
2,0.3123957449141086,2390697.1803218727,0.35887968873028886,2690235.082477535
3,0.36325003888019264,2390697.153621068,0.4178149487837594,2690235.082477535
4,0.42149422213642285,2390697.1801389903,0.4877499519860484,2690235.050385109
5,0.4825309836349962,2390697.1506949523,0.5491400396257677,2690235.050385109
6,0.5385904357044384,2390697.158376006,0.5923610387778864,2690235.050385109
7,0.585796949762276,2390697.1695318217,0.5951592130287621,2690235.050385109
8,0.621563694559054,2390697.1744696414,0.522842627511251,2690235.050385109
9,0.6498843952958917,2390697.156912948,0.4843194116676879,2690235.050385109
10,0.6702745803621623,2390697.1728237015,0.4725431848092624,2690235.050385109
11,0.6863848424864757,2390697.145391368,0.514218485707343,2690235.050385109
12,0.69852042403113,2390697.1595647405,0.5468614506170594,2690235.050385109
13,0.7075270412172291,2390697.1682516458,0.7493268673012896,2690234.928754814
14,0.7151444418289056,2390697.120153621,0.6911114539200289,2690235.050385109
15,0.7221722342101169,2390697.1254572053,0.7635051318861553,2690234.928754814
16,0.7259561939229038,2390697.134601317,0.7733699047366523,2690234.928754814
17,0.7316210610899685,2390697.1230797367,0.7788531876650946,2690234.928754814
18,0.7344883562616824,2386848.50411485,0.5737255395453457,2690235.050385109
19,0.7370199466065586,2390074.5691294805,0.7241471079255865,2690234.9862002567
20,0.7399358043464851,2389844.4465983906,0.7601182785970715,2690234.96084724
21,0.743506530295695,2390697.050109729,0.6597740171197444,2690235.050385109
22,0.7451607680878852,2390333.791697147,0.5877657868589761,2640279.107830552
23,0.7473351023627967,2385551.8043160206,0.7779829175389624,2690234.928754814
24,0.7498497935046048,2389434.923006584,0.7805461970771231,2690234.928754814
