epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.11901255891374919,0.9404937028884888,0.0026427662762051277,0.9986786553353975
1,0.15549367407093878,0.922253201837125,0.0630305576505083,0.9684847539121454
2,0.21513177778409875,0.8924341149952101,0.0655182647434148,0.967240855549321
3,0.26498692191165424,0.8675066129021023,0.05661566521633755,0.9716922062816042
4,0.3079603249612062,0.8460197837456412,0.052378943020647224,0.9738105354887067
5,0.3498419341833695,0.8250790627106376,0.05137504829150258,0.9743124734271656
6,0.3967528550521187,0.8016236502191295,0.04947059511235266,0.9752647714181379
7,0.4477598187716111,0.7761201314304186,0.04927973866914258,0.9753601171753623
8,0.4891040040099103,0.7554479966992917,0.04790676430319295,0.9760466055436567
9,0.5375436207522517,0.7312281857366147,0.03497091703342669,0.9825145945404515
