epoch;loss;val_loss
0;7126.97367776;7221.97695592
1;6995.80386688;7182.39190768
2;6956.89293201;7189.24669818
3;6961.35589457;7155.16514354
4;6972.83956007;7253.09072183
5;6963.16430376;7240.02384177
6;6991.01159033;7164.89077757
7;6936.35509142;7172.45998371
8;6955.64091293;7177.04402213
9;6937.65823154;7255.72770182
10;6930.08584305;7224.25204141
11;6944.24530238;7354.45875511
12;6957.90302867;7239.9033093
13;6927.51195016;7273.81024996
14;6927.81797964;7227.81553388
15;6944.71620207;7214.77743919
16;6965.34315814;7191.34509594
17;6929.21037779;7276.14934518
18;6983.9394136;7189.60603303
19;6932.92513711;7191.14139992
20;6951.16322323;7222.56459377
21;6930.60458369;7203.16529438
22;6936.29970283;7209.3182655
23;6942.30355798;7246.01717912
24;6924.48624853;7207.9461171
25;6925.22878336;7199.06864852
26;6913.93350705;7268.9778816
27;6972.98595572;7188.47957949
28;6952.96979433;7227.47503025
29;6956.85221931;7192.81032772
30;6940.66340742;7265.29807474
31;6922.50431199;7218.20964701
32;6915.30018951;7261.67592856
33;6937.05852742;7218.75749602
34;6935.54708789;7184.25154972
35;6921.78072338;7260.57107673
36;6944.31971415;7241.26773645
37;6939.06306716;7219.97746804
38;6931.63236096;7225.05506382
39;6951.50114311;7233.71937967
40;6930.50436292;7201.56531345
41;6943.32380838;7289.33560129
42;6964.00259036;7254.68752943
43;6945.21679031;7212.91210695
44;6928.92625097;7350.6600253
45;6952.9657068;7197.6597879
46;6948.57133854;7212.5786183
47;6946.08694348;7363.00542748
48;6976.85533802;7248.90309812
49;6929.0427543;7261.72648457
