epoch,acc,loss,precision,val_acc,val_loss,val_precision
0,0.810872798434,0.614186348815,0.904667484888,0.87129840559,0.42924316099,0.926536297374
1,0.833330724071,0.554453709938,0.900302648736,0.848767860989,0.451987542834,0.930441936831
2,0.83693933464,0.548204398682,0.895791590622,0.875771381349,0.411528118111,0.955158017172
3,0.839788649708,0.542944720063,0.894578961098,0.827500517915,0.528684247223,0.887889969433
4,0.839992172212,0.54361264482,0.89287686426,0.85800372764,0.437893804075,0.948218573431
5,0.842363992173,0.539586566493,0.892921738095,0.839635535456,0.538133182648,0.945190114927
6,0.842614481409,0.539057514907,0.894022367892,0.894263822824,0.388492527603,0.939936987928
7,0.844320939337,0.534386022834,0.892175707554,0.86212466364,0.439267122504,0.943063747969
8,0.843342465753,0.53675332706,0.891696276043,0.871567612478,0.432189299042,0.910948702578
9,0.84476712329,0.53283186451,0.891692862494,0.877200248647,0.41134741924,0.922630840292
10,0.846473581215,0.528295313034,0.891886224018,0.889500931981,0.411034818282,0.930251140134
11,0.854849315069,0.511097787105,0.893160970347,0.892172292486,0.401133417004,0.920984488823
12,0.857573385519,0.502958958146,0.893609710992,0.891406088303,0.391700157595,0.926904186456
13,0.860375733857,0.495576130468,0.895566724302,0.888734727786,0.408981138325,0.916618787168
14,0.864000000002,0.487145734597,0.897125362268,0.888672603097,0.403140329996,0.922996898832
