epoch;acc;loss;precision;recall;val_acc;val_loss;val_precision;val_recall
0;0.706918583429;0.698263995123;0.986769352885;5.77499087258;0.69226044226;2.05825276586;0.981307532248;6.06394348871
1;0.705841547762;0.608381026298;0.998729135625;6.00190763052;0.688697788698;1.678809141;0.985592224586;6.01695331672
2;0.693008397356;0.600050904956;0.998776350129;6.00149689668;0.693427518428;1.42516776619;0.988569808094;6.01378992606
3;0.692716319725;0.644400627738;0.998115344011;6.00217232567;0.689189189189;1.88671978475;0.982646667518;6.02678132678
4;0.702792990077;0.562588940153;0.999195763768;6.00438116101;0.689097051626;1.57912860643;0.985077308993;6.02407862408
5;0.691885724643;0.633223480345;0.997971551929;6.00264695144;0.688114250614;2.20124778876;0.98003100271;6.0480036855
6;0.688745892501;0.598082681819;0.998784125343;6.00156991603;0.681848894378;1.28569005684;0.986651451055;6.01188574915
7;0.70073932092;0.620200599624;0.998756165381;6.00065717415;0.698925061425;1.6082992327;0.986128623831;6.31765970516
8;0.695116830921;0.601500776781;0.998929393026;6.00227272727;0.678562653592;2.08279048046;0.980874318807;6.01894963122
9;0.704965315813;0.60909928644;0.999073413795;6.00020080321;0.682278869808;1.66517861179;0.985273545321;6.02306511033
10;0.70805951067;0.57895623456;0.999248913545;6.00065717415;0.686547911548;2.21289363329;0.979387387362;6.15540540541
11;0.700109528973;0.552420689882;0.999402550025;6.00312157722;0.680436117936;1.96405511816;0.982445888525;6.0390356263
12;0.699525374263;0.636496477999;0.998321162875;6.00120481928;0.680343980344;2.10275904201;0.980729203523;6.02447788674
13;0.695226360042;0.612872062638;0.998646784821;6.00240051114;0.728071253071;0.890310435447;0.993551011519;6.26713759214
14;0.694149324584;0.626296098814;0.998434366628;6.00120481928;0.69265970516;1.37668698256;0.988961516434;6.11065724816
15;0.700200803113;0.631894802203;0.998399020329;6.00170682703;0.685687960688;2.14400448216;0.980558754361;6.18568796069
16;0.701314348315;0.580725529286;0.998981104249;6.00499269806;0.708323095823;1.43945449705;0.988452639246;6.01182432409
17;0.690589631278;0.60984780311;0.998676611603;6.00205366922;0.715049140108;1.37390597751;0.988321802394;6.46741400491
18;0.699069003264;0.603246809088;0.998793033963;6.00152427893;0.716615479115;1.00652831383;0.992041975772;6.06781326781
19;0.699233296915;0.582485808461;0.999104850716;6.00360533041;0.73062039312;1.21262152892;0.99044045535;6.50838452088
20;0.691046002143;0.609604130247;0.998892807447;6.00027382256;0.701781326781;1.74429212173;0.984129103864;6.38482800983
21;0.69247900678;0.590052288024;0.998728525747;6.00284775465;0.728562653563;1.02087864767;0.993032118876;6.44398034398
22;0.69785505656;0.578467140314;0.99913977546;6.00206279664;0.68273955774;1.95681163049;0.982068102278;6.10304054031
23;0.702957283467;0.572789483882;0.999138933135;6.00246440307;0.702395577396;1.79977319053;0.983764917435;6.41686117936
24;0.698055859877;0.569285563711;0.999296138216;6.00180722892;0.69745085998;1.36552683578;0.987891991953;6.01056511033
