epoch;loss;val_loss
0;1132932380.41;6777.65277901
1;7037.02379395;6769.50891823
2;7063.00144043;6777.45221632
3;7078.09744629;6769.76893881
4;7161.46072266;7363.29240026
5;7708.32598145;7365.43701639
6;7708.38353516;7364.11180581
7;7708.3835791;7364.11170321
8;7708.38354492;7364.11169002
9;7708.38349121;7364.11179702
10;9762.18566895;7364.11179262
11;7708.38352539;7364.11169735
12;7708.38355957;7364.19379075
13;7708.38357422;7364.11178529
14;7708.3835083;7364.11179555
15;7708.3835498;7364.11170028
16;7708.38353516;7364.11189523
17;7708.38355957;7364.11180288
18;7708.38351562;7364.11169735
19;7708.38353516;7364.11181021
20;7775.46855957;7364.11188496
21;7708.3835791;7364.1118879
22;7708.38355957;7364.11179262
23;7708.38354492;7364.11179995
24;7708.38358398;7364.11180581
25;7708.38350586;7364.11189229
26;7708.38352539;7364.11169442
27;7708.38354492;7364.11175598
28;7708.38355957;7364.1117164
29;7708.38350586;7364.11180288
30;7708.38356445;7364.11180142
31;7708.38359863;7364.11179116
32;7708.38354248;7364.27924012
33;7708.38353516;7364.11170028
34;7708.3835498;7364.11179849
35;7708.38353516;7364.11177357
36;7708.38356445;7364.11168122
37;7708.3835498;7364.11189523
38;7708.38354492;7364.11168562
39;7708.38354004;7364.11177064
40;7708.38353516;2030142118.22
41;7708.38348145;7364.11170761
42;7708.38355957;7364.11170761
43;7708.38360352;7364.11179702
44;7708.38361816;7364.11178529
45;7708.38353516;7364.11179555
46;7708.38355957;7364.11180142
47;7708.38355469;7369.27725315
48;7708.38354004;7364.11189376
49;7708.38355469;7364.54999798
