epoch;loss;val_loss
0;7676.21219084;7786.03203797
1;7676.21219093;7786.03252461
2;7676.21228428;7786.03237204
3;7676.21218339;7786.03186173
4;7676.2122193;7786.03218265
5;7676.2121876;7786.03202745
6;7676.21220583;7786.03237993
7;7676.21215174;7786.03201956
8;7676.21210469;7786.03202745
9;7676.21215389;7786.03236941
10;7676.21214791;7786.03185121
11;7676.21222696;7786.03218528
12;7676.21218175;7786.03204849
13;7676.21214042;7786.03203271
14;7676.21215515;7786.03188014
15;7676.212165;7786.0320406
16;7676.21220204;7786.03236678
17;7676.21217603;7786.0318591
18;7676.21220941;7786.03199325
19;7676.21216963;7786.0321958
20;7676.21216862;7786.03235363
21;7676.21216382;7786.0321958
22;7676.21220877;7786.03201956
23;7676.21215961;7786.03237204
24;7676.21216104;7786.03219843
25;7676.21217089;7786.03219843
26;7676.21220204;7786.03204323
27;7676.21220212;7786.03202745
28;7676.21214118;7786.03237204
29;7676.21219118;7786.0321958
30;7676.21212211;7786.03202482
31;7676.21221206;7786.03204849
32;7676.21218053;7786.03217212
33;7676.21217207;7786.03204586
34;7676.21224026;7786.03220106
35;7676.2122134;7786.03186699
36;7676.21219749;7786.0321958
37;7676.21219501;7786.03185384
38;7676.21215919;7786.03223789
39;7676.21225158;7786.03220895
40;7676.21216311;7786.03203271
41;7676.21219589;7786.0320406
42;7676.21217914;7786.03204849
43;7676.21220696;7786.0323773
44;7676.21218537;7786.03221947
45;7676.21213402;7786.03220632
46;7676.21221837;7786.03218265
47;7676.21217472;7786.03221947
48;7676.21217443;7786.03202745
49;7676.21217973;7786.0320064
