epoch,dice_coef,hausdorff_dist,loss,val_dice_coef,val_hausdorff_dist,val_loss
0,0.1711441975896773,nan,nan,0.07629421005681665,nan,nan
1,0.21876063113627225,nan,nan,0.07367175099021882,nan,nan
2,0.23398438024780024,nan,nan,0.0735211669181643,nan,nan
3,0.24511532832099045,nan,nan,0.07330012185477906,nan,nan
4,0.24821495595185653,nan,nan,0.07223788156062999,nan,nan
5,0.25854380370482155,nan,nan,0.07093463792989496,nan,nan
6,0.266906343853992,nan,nan,0.0719985874523197,nan,nan
7,0.275067238315292,nan,nan,0.06974345122580417,nan,nan
8,0.2833040154498556,nan,nan,0.07000488899806938,nan,nan
9,0.28163307587737624,nan,nan,0.0642888731024207,nan,nan
10,0.2938971446260162,nan,nan,0.06681191416944122,nan,nan
11,0.2984679053011148,nan,nan,0.07663729906727729,nan,nan
12,0.3083709640023501,nan,nan,0.07403318634764715,nan,nan
13,0.3159143998814018,nan,nan,0.08573194157956592,nan,nan
