epoch,dice_coef,iou,loss,val_dice_coef,val_iou,val_loss
0,0.19232979245707338,0.10660621788742425,1.451598553606953,0.14573161962020076,0.0798999305159351,0.872650634263079
1,0.22410189385996654,0.1263646194227612,0.7915894252240614,0.17919768390170418,0.1004421876382384,0.8329796804849235
2,0.2379526679936167,0.1352346111756655,0.7777340949322938,0.18709523546412607,0.1054971762651886,0.8253026662038134
3,0.2492404143219022,0.1426067877269262,0.7690255990757415,0.18336734350708545,0.10295215647414192,0.8303714484091136
4,0.2633571762757835,0.15187041312129113,0.7530277734615546,0.2034717764088523,0.1160600975308859,0.8092475555674562
5,0.27910465863209705,0.1624786567648746,0.7385617761866577,0.19318635586711347,0.10922309538691433,0.821329375669188
6,0.291105947947101,0.17067574297065008,0.7273925537599119,0.22501693139945436,0.13100367647252584,0.792194074859056
7,0.30008115320198714,0.17684368685640028,0.7182986350415306,0.21473384562482883,0.12385511415531149,0.80009603247869
8,0.30863504991447654,0.18283331650360363,0.7102130501481331,0.21566757260414082,0.12474196758575556,0.7989732059954985
9,0.31342976988887994,0.18617865183794682,0.7082016714838358,0.21446644499496256,0.12401551873314365,0.8012540548542497
